ventana,algoritmo,fo,valor
w1,NSGAII-A,Costo de energia,0.790645145
w1,NSGAII-A,Costo de energia,0.843160859
w1,NSGAII-A,Costo de energia,0.792624708
w1,NSGAII-A,Costo de energia,0.785203921
w1,NSGAII-A,Costo de energia,0.797222525
w1,NSGAII-A,Costo de energia,0.806409373
w1,NSGAII-A,Costo de energia,0.784963921
w1,NSGAII-A,Costo de energia,0.793636708
w1,NSGAII-A,Costo de energia,0.785557921
w1,NSGAII-A,Costo de energia,0.785803921
w7,NSGAII-A,Costo de energia,0.856515526
w7,NSGAII-A,Costo de energia,0.844061824
w7,NSGAII-A,Costo de energia,0.724947442
w7,NSGAII-A,Costo de energia,0.909837073
w7,NSGAII-A,Costo de energia,0.834746891
w7,NSGAII-A,Costo de energia,0.78119079
w7,NSGAII-A,Costo de energia,0.836319824
w7,NSGAII-A,Costo de energia,0.824082534
w7,NSGAII-A,Costo de energia,0.765542024
w7,NSGAII-A,Costo de energia,0.800350565
w10,NSGAII-A,Costo de energia,0.981996345
w10,NSGAII-A,Costo de energia,0.973127778
w10,NSGAII-A,Costo de energia,0.966788569
w10,NSGAII-A,Costo de energia,0.892861185
w10,NSGAII-A,Costo de energia,0.974346403
w10,NSGAII-A,Costo de energia,0.968491894
w10,NSGAII-A,Costo de energia,0.976427113
w10,NSGAII-A,Costo de energia,0.996125014
w10,NSGAII-A,Costo de energia,0.933999282
w10,NSGAII-A,Costo de energia,0.998373653
w3,NSGAII-A,Costo de energia,1.122371155
w3,NSGAII-A,Costo de energia,1.0391032
w3,NSGAII-A,Costo de energia,1.116614623
w3,NSGAII-A,Costo de energia,1.180161521
w3,NSGAII-A,Costo de energia,1.027805455
w3,NSGAII-A,Costo de energia,1.0850318
w3,NSGAII-A,Costo de energia,1.133076238
w3,NSGAII-A,Costo de energia,1.180276794
w3,NSGAII-A,Costo de energia,1.005141063
w3,NSGAII-A,Costo de energia,1.130277705
w6,NSGAII-A,Costo de energia,0.701524491
w6,NSGAII-A,Costo de energia,0.728927225
w6,NSGAII-A,Costo de energia,0.760559175
w6,NSGAII-A,Costo de energia,0.724047695
w6,NSGAII-A,Costo de energia,0.795696687
w6,NSGAII-A,Costo de energia,0.75993812
w6,NSGAII-A,Costo de energia,0.846927759
w6,NSGAII-A,Costo de energia,0.86114665
w6,NSGAII-A,Costo de energia,0.80705767
w6,NSGAII-A,Costo de energia,0.745801955
w1,NSGAII-B,Costo de energia,0.842716273
w1,NSGAII-B,Costo de energia,0.756744724
w1,NSGAII-B,Costo de energia,1.023152203
w1,NSGAII-B,Costo de energia,0.784009921
w1,NSGAII-B,Costo de energia,0.792764708
w1,NSGAII-B,Costo de energia,0.781892359
w1,NSGAII-B,Costo de energia,0.774930621
w1,NSGAII-B,Costo de energia,0.758711813
w1,NSGAII-B,Costo de energia,0.79430601
w1,NSGAII-B,Costo de energia,0.789247885
w7,NSGAII-B,Costo de energia,0.842195151
w7,NSGAII-B,Costo de energia,0.842189151
w7,NSGAII-B,Costo de energia,0.790559876
w7,NSGAII-B,Costo de energia,0.822566762
w7,NSGAII-B,Costo de energia,0.842305151
w7,NSGAII-B,Costo de energia,0.730913528
w7,NSGAII-B,Costo de energia,0.868297437
w7,NSGAII-B,Costo de energia,0.842329151
w7,NSGAII-B,Costo de energia,0.826745375
w7,NSGAII-B,Costo de energia,0.811815935
w10,NSGAII-B,Costo de energia,0.972751631
w10,NSGAII-B,Costo de energia,0.925928706
w10,NSGAII-B,Costo de energia,0.946532212
w10,NSGAII-B,Costo de energia,0.839255423
w10,NSGAII-B,Costo de energia,1.002555599
w10,NSGAII-B,Costo de energia,0.905195695
w10,NSGAII-B,Costo de energia,0.996716778
w10,NSGAII-B,Costo de energia,0.938389337
w10,NSGAII-B,Costo de energia,0.989934323
w10,NSGAII-B,Costo de energia,0.991701808
w3,NSGAII-B,Costo de energia,1.087651541
w3,NSGAII-B,Costo de energia,1.171012065
w3,NSGAII-B,Costo de energia,1.028500852
w3,NSGAII-B,Costo de energia,1.155343407
w3,NSGAII-B,Costo de energia,1.12368676
w3,NSGAII-B,Costo de energia,1.083685194
w3,NSGAII-B,Costo de energia,1.112087194
w3,NSGAII-B,Costo de energia,1.097230957
w3,NSGAII-B,Costo de energia,0.977914443
w3,NSGAII-B,Costo de energia,1.047113169
w6,NSGAII-B,Costo de energia,0.758870498
w6,NSGAII-B,Costo de energia,0.803965145
w6,NSGAII-B,Costo de energia,0.834335369
w6,NSGAII-B,Costo de energia,0.746033184
w6,NSGAII-B,Costo de energia,0.865624107
w6,NSGAII-B,Costo de energia,0.798379847
w6,NSGAII-B,Costo de energia,0.706626452
w6,NSGAII-B,Costo de energia,0.677369676
w6,NSGAII-B,Costo de energia,0.791042564
w6,NSGAII-B,Costo de energia,0.727301938
