DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
1.122371155,1.087651541,1.105527852,1.250606102,1.041444955,,,,,
1.0391032,1.171012065,1.064287876,1.421022428,1.087140895,,,,,
1.116614623,1.028500852,1.179680569,1.232456919,1.302420111,,,,,
1.180161521,1.155343407,1.032146789,1.086055865,1.209286046,,,,,
1.027805455,1.12368676,1.085245145,1.129652065,1.400744095,,,,,
1.0850318,1.083685194,1.07689626,1.100120644,1.118127854,,,,,
1.133076238,1.112087194,1.044897502,1.177254317,1.132189486,,,,,
1.180276794,1.097230957,1.165361313,1.431506814,1.070368639,,,,,
1.005141063,0.977914443,1.063741583,1.183079361,1.107491736,,,,,
1.130277705,1.047113169,1.085171521,1.55746402,1.402943941,,,,,
,,,,,,,,,
1.102,1.088,1.090,1.257,1.187,,1.088,,,
1.119,1.092,1.081,1.208,1.125,,1.081,,,
,,,,,,,,,
,,,,,,,,,
1.102,1.119,1.088,1.092,1.090,1.081,1.257,1.208,1.187,1.125
