w1:30,w7:33,w10:41,w3:44,w6:56,w5:77,w2:82,w8:89,w4:109,w9:125
28.944,23.1,28.07,37.2,35.79600000000001,56.352000000000004,63.60000000000001,65.83600000000001,69.784,54.94799999999999
37.15,23.919999999999998,31.86,32.75,36.86000000000001,55.34,60.308,69.47999999999999,79.56000000000002,83.80999999999999
30.06,28.05,32.519999999999996,38.25,42.82,53.786,55.14,54.425000000000004,72.718,93.50500000000002
32.44,31.419999999999998,26.190000000000005,33.699999999999996,31.72,57.57000000000001,55.164,60.6,85.03399999999999,47.67
27.4,23.919999999999998,27.84,33.62,35.080000000000005,48.93600000000001,64.92000000000002,66.916,84.46000000000001,43.87
31.56,27.080000000000002,28.45,32.44,43.660000000000004,56.370000000000005,56.836,62.61900000000001,73.96,79.214
32.44,23.919999999999998,30.779999999999998,37.608000000000004,36.120000000000005,41.94400000000001,57.17000000000001,49.535999999999994,94.226,89.06099999999999
29.540000000000003,32.620000000000005,25.46,49.24000000000001,48.360000000000014,54.43200000000001,75.51,58.716,77.87599999999999,85.35
31.56,27.424,31.32,49.12,44.24400000000001,55.44800000000001,58.97,59.99,86.81,84.865
31.559999999999995,23.096000000000004,28.828,33.95,30.500000000000004,56.016,55.03099999999999,65.31,84.52799999999999,49.088
